State (rank),Year,% meeting 1,% meeting 3,% meeting 6
Alabama,2018,92.5,82,52.4
Alaska,2018,96.1,37.1,29.4
American Samoa,2018,98.6,20,0
Arizona,2018,96.8,43.9,36.6
Arkansas,2018,95,10.1,26.3
California,2018,97.8,44.2,67.4
Colorado,2018,null,null,null
Connecticut,2018,97.9,75.9,47.7
Delaware,2018,90.2,7.2,50
District of Columbia,2018,95.4,6.9,0
Florida,2018,88.2,72.8,36.3
Georgia,2018,95.3,22.8,33
Guam,2018,95.7,22,40
Hawaii,2018,97.1,57.1,38.2
Idaho,2018,94.3,70.3,41.7
Illinois,2018,96.7,51.5,51.5
Indiana,2018,96,60.4,41.5
Iowa,2018,96,52.6,41.9
Kansas,2018,96.7,60.4,65.2
Kentucky,2018,96.5,53.5,26
Louisiana,2018,96.2,53.3,54.7
Maine,2018,96.1,55.3,52.2
Marshall Islands,2018,88.8,35,60
Maryland,2018,97.3,52.3,57.6
Massachusetts,2018,97.9,74.7,66.8
Michigan,2018,95.8,22.9,38.3
Micronesia,2018,80.3,0,0
Minnesota,2018,96.2,40.7,37.3
Mississippi,2018,95.9,18.8,28.4
Missouri,2018,96.2,62.7,64.2
Montana,2018,95.1,12.6,58.3
Nebraska,2018,96.6,48.4,54.2
Nevada,2018,95.7,36.8,66.7
New Hampshire,2018,97.2,50.9,35.3
New Jersey,2018,97.7,35.6,32.1
New Mexico,2018,93.3,33.4,33.3
New York,2018,95.4,20.8,45.1
North Carolina,2018,97.4,27.9,48.7
North Dakota,2018,97.9,12.5,60.9
Northern Marianas,2018,99,11.3,50
Ohio,2018,95.8,59.3,31.3
Oklahoma,2018,99.3,7,39.4
Oregon,2018,96.4,71.5,59.2
Palau,2018,95.3,0,0
Pennsylvania,2018,95.5,64,39.4
Puerto Rico,2018,2.8,36.3,40.9
Rhode Island,2018,96.2,46.6,53.5
South Carolina,2018,96.2,34.8,47.5
South Dakota,2018,94.9,18,6.7
Tennessee,2018,97.1,46.4,42.6
Texas,2018,97.2,29.7,36.4
Utah,2018,97.3,71.7,62.1
Vermont,2018,96.6,78.3,100
Virgin Islands,2018,null,null,null
Virginia,2018,95.1,56.9,13.1
Washington,2018,96.3,33.7,56.3
West Virginia,2018,94.7,44.3,57.1
Wisconsin,2018,91.2,44.7,36.9
Wyoming,2018,97.8,75,70.6
Alabama,2019,null,null,null
Alaska,2019,94.8,44.3,37.5
American Samoa,2019,98.2,28.6,0
Arizona,2019,96.8,37.3,40.3
Arkansas,2019,95.1,10.3,37.1
California,2019,97.8,43.9,61.4
Colorado,2019,null,null,null
Connecticut,2019,98.1,70.1,43
Delaware,2019,94.7,8.7,18.8
District of Columbia,2019,96.4,5.5,0
Florida,2019,90.5,81.2,37.7
Georgia,2019,94.7,18.9,36
Guam,2019,97,2.7,33.3
Hawaii,2019,97.3,58.4,25
Idaho,2019,96.2,65.1,49
Illinois,2019,96.1,52.5,49.8
Indiana,2019,96.3,61.2,50.3
Iowa,2019,96,42.1,45.6
Kansas,2019,97.4,69.8,72.7
Kentucky,2019,96.7,56.6,1.7
Louisiana,2019,96,15.5,45.2
Maine,2019,96.2,55.7,50
Marshall Islands,2019,90.6,37,14.3
Maryland,2019,97.2,49.2,55.7
Massachusetts,2019,97.9,74.6,64
Michigan,2019,95.9,26.9,38.7
Micronesia,2019,86.4,1.6,0
Minnesota,2019,95.8,44.7,45.6
Mississippi,2019,null,null,null
Missouri,2019,96.1,52.4,49.5
Montana,2019,94.6,13.4,50
Nebraska,2019,96.5,35.3,49
Nevada,2019,95.3,38.5,59.3
New Hampshire,2019,96.9,31.6,42.9
New Jersey,2019,96.6,36.1,37.8
New Mexico,2019,93.3,32.8,38.7
New York,2019,95.3,19.3,44.6
North Carolina,2019,97.2,30.9,43.6
North Dakota,2019,97.7,17.4,43.8
Northern Marianas,2019,98.3,32.4,70
Ohio,2019,96.3,61.5,26.1
Oklahoma,2019,99.3,8.3,35.9
Oregon,2019,96.4,69.8,48.9
Palau,2019,92.5,0,0
Pennsylvania,2019,95.6,58.9,54.9
Puerto Rico,2019,96.5,31.6,31.8
Rhode Island,2019,96.8,34.7,58.8
South Carolina,2019,96,25.8,39.6
South Dakota,2019,94.4,20.7,0
Tennessee,2019,97.3,53.6,46.7
Texas,2019,97.2,27,19.4
Utah,2019,97.6,74.6,49.5
Vermont,2019,97,68.2,76.5
Virgin Islands,2019,null,null,null
Virginia,2019,95.7,41,43.9
Washington,2019,96.3,32.1,50.3
West Virginia,2019,91.6,50.2,40
Wisconsin,2019,91.9,37.9,35
Wyoming,2019,98,76.9,61.1
Alabama,2020,90.9,69.8,74.5
Alaska,2020,92.1,27.5,35.7
American Samoa,2020,97.1,0,0
Arizona,2020,95.9,28.5,47.3
Arkansas,2020,94.6,10.9,32.8
California,2020,97.5,40.5,68.4
Colorado,2020,93.5,14.1,44
Connecticut,2020,97.7,62.7,46.2
Delaware,2020,96.3,5.3,21.4
District of Columbia,2020,96.4,9.2,0
Florida,2020,91.1,14.4,39.1
Georgia,2020,94.3,21.4,38.6
Guam,2020,95,3.6,20
Hawaii,2020,96,56.9,27.5
Idaho,2020,92.2,63.7,31.9
Illinois,2020,96.3,50.4,52.1
Indiana,2020,96,64.8,41
Iowa,2020,95.9,41.5,30.6
Kansas,2020,97.3,64,60.4
Kentucky,2020,93.6,49.8,16.9
Louisiana,2020,95.9,46.7,53.1
Maine,2020,95.1,55.9,43.3
Marshall Islands,2020,null,null,null
Maryland,2020,96.7,36.4,51.1
Massachusetts,2020,97.5,69.2,65.1
Michigan,2020,94.7,21.2,36
Micronesia,2020,91.6,100,100
Minnesota,2020,95.2,45.8,25.6
Mississippi,2020,null,null,null
Missouri,2020,95.6,41.3,63.2
Montana,2020,92.8,8.9,77.8
Nebraska,2020,94.9,60.2,55.2
Nevada,2020,94.3,19,52.5
New Hampshire,2020,96.3,14.4,12.5
New Jersey,2020,97,29.3,29.6
New Mexico,2020,90.4,14.4,50
New York,2020,94.1,15.5,32.8
North Carolina,2020,96.5,29.5,47.8
North Dakota,2020,96.9,20.1,47.4
Northern Marianas,2020,98.2,30,100
Ohio,2020,96.1,62.4,33.7
Oklahoma,2020,99.2,5.9,26.3
Oregon,2020,96,65.3,48.1
Palau,2020,95.3,0,0
Pennsylvania,2020,95.1,48.3,55.1
Puerto Rico,2020,96,24.7,10
Rhode Island,2020,94.2,47.8,56.5
South Carolina,2020,95.5,22.6,56.1
South Dakota,2020,93.4,13.9,833.3
Tennessee,2020,97,46.5,33.1
Texas,2020,96.7,21.7,10.9
Utah,2020,97,78.3,61.2
Vermont,2020,94.7,94.9,66.7
Virgin Islands,2020,80,0,0
Virginia,2020,94.7,45.8,22.9
Washington,2020,95.2,27.6,47.5
West Virginia,2020,93.3,37.6,66.7
Wisconsin,2020,90.9,41.3,31.3
Wyoming,2020,97.4,60.9,78.6
Alabama,2021,null,null,null
Alaska,2021,93.1,24.4,30.8
American Samoa,2021,null,null,null
Arizona,2021,95.5,20.4,43.2
Arkansas,2021,94.7,20.9,54.2
California,2021,97.5,41.9,60.7
Colorado,2021,95,25.9,44.1
Connecticut,2021,97.5,70,60
Delaware,2021,95.7,7.9,64.7
District of Columbia,2021,97.1,15.7,0
Florida,2021,89.6,39,37
Georgia,2021,93.4,21.8,45.8
Guam,2021,95.3,0,0
Hawaii,2021,95.5,70.6,18.5
Idaho,2021,93.7,64.3,31.3
Illinois,2021,96.6,59.1,47.2
Indiana,2021,95.5,63.5,38.8
Iowa,2021,94.8,49.2,34.8
Kansas,2021,97.3,65.7,56.1
Kentucky,2021,95.6,60.7,0
Louisiana,2021,95.4,43.1,38.8
Maine,2021,94.7,60.3,66.7
Marshall Islands,2021,null,null,null
Maryland,2021,96.7,35.3,40.8
Massachusetts,2021,97.6,75.9,60.3
Michigan,2021,94.9,28.7,46.4
Micronesia,2021,85.5,0,0
Minnesota,2021,95.3,48.3,41.3
Mississippi,2021,null,null,null
Missouri,2021,95.6,46.6,48.8
Montana,2021,92.4,16.7,62.5
Nebraska,2021,95.5,51.1,53.3
Nevada,2021,94,27.1,53.3
New Hampshire,2021,83.4,31.5,0
New Jersey,2021,97.1,31.7,32.2
New Mexico,2021,95.6,42.8,61.5
New York,2021,94.8,16.6,44
North Carolina,2021,96.6,29.6,45.7
North Dakota,2021,96.8,22.2,66.7
Northern Marianas,2021,98.3,50,100
Ohio,2021,95.4,66.2,32.4
Oklahoma,2021,99.1,9,22.5
Oregon,2021,95.7,68.9,60
Palau,2021,96.4,0,0
Pennsylvania,2021,95.5,45.4,43.3
Puerto Rico,2021,95.6,29.3,11.1
Rhode Island,2021,95,49.4,50
South Carolina,2021,95.3,21.8,52.3
South Dakota,2021,91.5,10,0
Tennessee,2021,96.7,40.6,35.7
Texas,2021,96.9,25.6,0.2
Utah,2021,97.2,77.9,61.1
Vermont,2021,95.5,100,50
Virgin Islands,2021,57.3,0,0
Virginia,2021,95.2,52.1,16.1
Washington,2021,95.8,25.8,58.9
West Virginia,2021,95.7,53.1,64.7
Wisconsin,2021,92.3,44.3,28.7
Wyoming,2021,97.5,75.8,58.3
Alabama,2022,null,null,null
Alaska,2022,90.4,16.1,6.3
American Samoa,2022,86.5,0,0
Arizona,2022,95.5,22.7,47
Arkansas,2022,94.9,18.3,25
California,2022,97.5,36.8,66.7
Colorado,2022,95.1,32,34.5
Connecticut,2022,97.6,65.8,41.6
Delaware,2022,95.4,6.1,18.2
District of Columbia,2022,96.8,13.6,0
Florida,2022,92.6,34.6,30
Georgia,2022,94,19.6,47.8
Guam,2022,90.5,1.4,0
Hawaii,2022,95.6,66.3,24.1
Idaho,2022,93.7,62.7,47.4
Illinois,2022,96.5,56.4,45.5
Indiana,2022,95.2,62.6,34.8
Iowa,2022,95.9,49.7,39.7
Kansas,2022,96.9,48.6,55.8
Kentucky,2022,95.5,56.2,0
Louisiana,2022,96.7,66.1,48.6
Maine,2022,94.2,73.8,61.5
Marshall Islands,2022,null,null,null
Maryland,2022,97,28.4,65.8
Massachusetts,2022,97.6,69.1,61
Michigan,2022,94.7,32.1,44.7
Micronesia,2022,null,null,null
Minnesota,2022,94.9,40.1,48.2
Mississippi,2022,90.1,32.9,17.5
Missouri,2022,95.1,52.8,56
Montana,2022,91.8,25.1,61.5
Nebraska,2022,93.3,4.3,0
Nevada,2022,95,22.7,47.2
New Hampshire,2022,80.1,42.1,38.5
New Jersey,2022,97.4,35.6,42.9
New Mexico,2022,95.4,39.9,65
New York,2022,94.5,15.6,30.5
North Carolina,2022,96.7,30.9,44.9
North Dakota,2022,97,23.9,50
Northern Marianas,2022,99.2,33.3,100
Ohio,2022,94.8,65.2,30.9
Oklahoma,2022,95.5,5.5,6.8
Oregon,2022,95.7,68.7,64.9
Palau,2022,88.5,0,0
Pennsylvania,2022,95,32.9,42.9
Puerto Rico,2022,93.9,41.9,11.1
Rhode Island,2022,94.6,55.3,12.5
South Carolina,2022,95.2,16,45.5
South Dakota,2022,93.9,10.9,3.7
Tennessee,2022,96.4,24.3,29.4
Texas,2022,96.7,22.8,0
Utah,2022,97.3,79.4,66.7
Vermont,2022,96.2,82.8,42.9
Virgin Islands,2022,null,null,null
Virginia,2022,95.4,48.8,16.2
Washington,2022,95.1,26.5,50.3
West Virginia,2022,95.3,50.6,71.4
Wisconsin,2022,93.9,35.8,29.9
Wyoming,2022,97.4,73.7,66.7
Alabama,2023,,,
Alaska,2023,,,
American Samoa,2023,,,
Arizona,2023,,,
Arkansas,2023,,,
California,2023,,,
Colorado,2023,,,
Connecticut,2023,,,
Delaware,2023,,,
District of Columbia,2023,,,
Florida,2023,,,
Georgia,2023,,,
Guam,2023,,,
Hawaii,2023,,,
Idaho,2023,,,
Illinois,2023,,,
Indiana,2023,,,
Iowa,2023,,,
Kansas,2023,,,
Kentucky,2023,,,
Louisiana,2023,,,
Maine,2023,,,
Marshall Islands,2023,,,
Maryland,2023,,,
Massachusetts,2023,,,
Michigan,2023,,,
Micronesia,2023,,,
Minnesota,2023,,,
Mississippi,2023,,,
Missouri,2023,,,
Montana,2023,,,
Nebraska,2023,,,
Nevada,2023,,,
New Hampshire,2023,,,
New Jersey,2023,,,
New Mexico,2023,,,
New York,2023,,,
North Carolina,2023,,,
North Dakota,2023,,,
Northern Marianas,2023,,,
Ohio,2023,,,
Oklahoma,2023,,,
Oregon,2023,,,
Palau,2023,,,
Pennsylvania,2023,,,
Puerto Rico,2023,,,
Rhode Island,2023,,,
South Carolina,2023,,,
South Dakota,2023,,,
Tennessee,2023,,,
Texas,2023,,,
Utah,2023,,,
Vermont,2023,,,
Virgin Islands,2023,,,
Virginia,2023,,,
Washington,2023,,,
West Virginia,2023,,,
Wisconsin,2023,,,
Wyoming,2023,,,
Alabama,2024,,,
Alaska,2024,,,
American Samoa,2024,,,
Arizona,2024,,,
Arkansas,2024,,,
California,2024,,,
Colorado,2024,,,
Connecticut,2024,,,
Delaware,2024,,,
District of Columbia,2024,,,
Florida,2024,,,
Georgia,2024,,,
Guam,2024,,,
Hawaii,2024,,,
Idaho,2024,,,
Illinois,2024,,,
Indiana,2024,,,
Iowa,2024,,,
Kansas,2024,,,
Kentucky,2024,,,
Louisiana,2024,,,
Maine,2024,,,
Marshall Islands,2024,,,
Maryland,2024,,,
Massachusetts,2024,,,
Michigan,2024,,,
Micronesia,2024,,,
Minnesota,2024,,,
Mississippi,2024,,,
Missouri,2024,,,
Montana,2024,,,
Nebraska,2024,,,
Nevada,2024,,,
New Hampshire,2024,,,
New Jersey,2024,,,
New Mexico,2024,,,
New York,2024,,,
North Carolina,2024,,,
North Dakota,2024,,,
Northern Marianas,2024,,,
Ohio,2024,,,
Oklahoma,2024,,,
Oregon,2024,,,
Palau,2024,,,
Pennsylvania,2024,,,
Puerto Rico,2024,,,
Rhode Island,2024,,,
South Carolina,2024,,,
South Dakota,2024,,,
Tennessee,2024,,,
Texas,2024,,,
Utah,2024,,,
Vermont,2024,,,
Virgin Islands,2024,,,
Virginia,2024,,,
Washington,2024,,,
West Virginia,2024,,,
Wisconsin,2024,,,
Wyoming,2024,,,